Title,Company,City,State,Description,Skills,Experience,Job URL,skill_count,job_level,desc_length,Experience_log
Sitecore Software Developer,Calleo,Canberra,ACT,"Develop highly functional, visually rich interfaces for multiple browsers
Ensure brand guidelines and accessibility compliance with stakeholders
Experience with Sitecore v9+, Azure Cloud, .NET, C#, Node.js","Azure, C#, Node.js",5.0,https://au.jora.com/job/Sitecore-Software-Developer-2b4c13b3dca5cb74292189bb62acd3ad,3,unknown,207,1.791759469228055
Graduate Backend Software Engineer - Multimedia Platform,TikTok,Sydney,NSW,"Contribute to multimedia processing system design and maintenance.
Contribute to VoD strategy platform for cost-effective transcoding
Work on large-scale distributed system development and task scheduling",,5.0,https://au.jora.com/job/Graduate-Backend-Software-4b35190ea95d3efd829782eefa77b4dc,0,entry,206,1.791759469228055
Software Engineer,NEXTDC,Sydney,NSW,"Develop customer-facing web-based systems with industry best practices
Collaborate with network engineers for on-demand network services
3+ years software dev experience, BE/BSc in Computer Science preferred",,3.0,https://au.jora.com/job/Software-Engineer-8cee1dec5d8f63c5fa15cb500cef58f9,0,unknown,209,1.3862943611198906
Software Developer,Miller Leith,Melbourne,VIC,"Design, develop, and maintain high-quality software applications
Collaborate with cross-functional teams to deliver innovative solutions
Proficient in PHP, HTML, CSS, JavaScript, shell scripting, and Unix","CSS, HTML, Java, JavaScript, PHP, Shell",5.0,https://au.jora.com/job/Software-Developer-1fbc1f87f5b69c47e3754cd83dfb08a3,6,unknown,206,1.791759469228055
Web Developer Intern,Study and Work,Melbourne,VIC,"Relevant degree or recent graduate with strong communication skills
Work closely with web designers and programmers on website development
Internship includes structured training plan and job placement assistance",SSIS,5.0,https://au.jora.com/job/Web-Developer-5ef99774b9b52f9724d324c6c88c4c43,1,unknown,214,1.791759469228055
Software Engineer,Elenium Automation,Essendon,VIC,"Develop and maintain software for self-service kiosks and bag drops
Collaborate with internal and external stakeholders on software solutions
Minimum 3 years experience in C# and .NET development required",C#,3.0,https://au.jora.com/job/Software-Engineer-b5a0b26030acf5b6089694b4b8b50261,1,unknown,206,1.3862943611198906
Software Engineer,KBR,Alice Springs,NT,"Design, develop, and maintain cutting-edge software solutions
Analyze customer requirements and translate them into a design
Bachelor's degree in software engineering, 5+ years experience required",,5.0,https://au.jora.com/job/Software-Engineer-101a31a8b468aba7c7863f0b74c86b7d,0,unknown,198,1.791759469228055
Software Designer/Developer,Stratco,Bundaberg,QLD,"Develop, test, and maintain .NET-based applications and services
Guide and collaborate with other Software Designers in the team
Bachelor's degree in IT, 5+ years' experience in enterprise software",,5.0,https://au.jora.com/job/Software-Designer-97d4d31974203d7352ccd0a3cddf6099,0,unknown,199,1.791759469228055
Software Development Graduate,Amazon Web Services,Sydney,NSW,"Develop software end to end, from requirements to operations
Enrolled/completed degree in Computer Science, Engineering, or IT
Strong coding skills in C/C++ or Java on UNIX/Linux platform","C++, Java, Linux",5.0,https://au.jora.com/job/Software-Development-Graduate-7683c8e6cdc83e2c186914ac75086ca0,3,entry,189,1.791759469228055
Developer (Junior),IPSI Pty Ltd,Sydney CBD,NSW,"Degree-qualified Java Developer with 2+ years experience
Software development in Java, Spring framework, Python, and JavaScript
Developing resilient containerized apps with flexible work hours","Java, JavaScript, Python, Spring",2.0,https://au.jora.com/job/Developer-ffe546d5b7bcebbc7adc92c1686a804b,4,entry,194,1.0986122886681098
Senior Magento PHP Developer,Harvey Norman,Homebush,NSW,"Design and implement new features on Magento 2 platform
Mentor junior developers and uphold best practices
Manage code, release processes, and various APIs integration",Magento,5.0,https://au.jora.com/job/PHP-Developer-d809cde5af840996e1e8c64263686601,1,senior,169,1.791759469228055
Software Engineer,CommBank,Sydney,NSW,"Passionate about high-quality software design, development, deployment
Familiar with full software development lifecycle, CI/CD, automated testing
Ability to coach, mentor, and perform code quality control",CI/CD,5.0,https://au.jora.com/job/Software-Engineer-ad1f7725fdbeea3ae22a9503e34a1d0b,1,unknown,207,1.791759469228055
Software Engineer Graduate Program Intake 2026 (Expression of Interest),SafetyCulture,Sydney,NSW,"Structured 18-month program with rotations in Engineering departments
Hands-on experience with modern tech stack including React.js, Go, AWS
Lead critical projects, collaborate with software engineers","AWS, Go, React",5.0,https://au.jora.com/job/Engineer-Graduate-b05a4010760ee7c1181b2c9c93535c6f,3,entry,202,1.791759469228055
Scientific Software Engineer,Bureau of Meteorology,Sydney,NSW,"Develop operational forecasting and analysis systems for water models
Collaborate with scientists to integrate new modelling advancements
Utilize Python, C++, pandas, xarray for software development in team","C++, Pandas, Python",5.0,https://au.jora.com/job/Software-Engineer-31ecc281191887e43265677a16b85f02,3,unknown,208,1.791759469228055
Software Developer,Mane Consulting,Melbourne,VIC,"Develop front-end features using Vue.js, React, or Angular
Build and deploy Node.js applications in Cloud Native Microservices
Contribute to Agile processes and uphold best practices","Agile, Angular, Microservices, Node.js, React, Vue.js",5.0,https://au.jora.com/job/Software-Developer-cacbd995ffe5a6c89db7a8c5a278245a,6,unknown,184,1.791759469228055
Software Engineer (Backend),Zip Co,Melbourne,VIC,"Develop backend systems using .netCore, microservices & event architecture
Contribute to Decisioning Engine, assess customer fit, integrate data platforms
Experience in C#, .netframework, cloud technologies, API design","C#, Microservices",5.0,https://au.jora.com/job/Software-Engineer-Backend-c4c32d0811c8067ab3e87d476a98c6ca,2,unknown,220,1.791759469228055
Graduate C/C++ Software Engineer,Blackmagic Design,South Melbourne,VIC,"Bachelor's/Master's in Computer Science or related field required
Strong programming skills in C or C++ essential
Passion for technology, problem-solving, and teamwork abilities needed",C++,5.0,https://au.jora.com/job/C++-Software-Engineer-498381ffedbd26725d676c2de2837d5d,1,entry,186,1.791759469228055
Devops Engineer,Paxus,Brisbane,QLD,"Design & maintain CI/CD pipelines, cloud infrastructure, monitoring systems
Collaborate with developers, IT security teams for scalability, security
Hands-on experience with CI/CD tools, cloud platforms, scripting skills","CI/CD, Scala",5.0,https://au.jora.com/job/DevOps-Engineer-558080c83c0a65e381f4ab35cfb5053a,2,unknown,222,1.791759469228055
DotNet Developer,eTeam,Australian Capital,Territory,"Strong in C# .Net, WPF with MVVM, XAML, Iron Python
Experience in JSON, Client Scripting, REST API preferred
Responsible for system analysis, design, development, testing, deployment","C#, Python, Rest API",5.0,https://au.jora.com/job/Net-Developer-d97f2b2263ed0dfa7d4b572528de7b2a,3,unknown,184,1.791759469228055
Software Development Engineer,Workday,Brisbane,QLD,"2+ years experience in software engineering and C#
Opportunity to work in a collaborative environment on full stack solutions
Experience with design patterns, SQL, React, and .NET development","C#, React, SQL",2.0,https://au.jora.com/job/Software-Development-Engineer-5999c7c90d1a14920b6cd687aaf60c4f,3,unknown,193,1.0986122886681098
Technical Developer,SA Health,Adelaide,SA,"Develop and implement innovative solutions for healthcare technology
Design and maintain software applications with multidisciplinary teams.
Software development expertise in various programming languages required.",,5.0,https://au.jora.com/job/Technical-Developer-62f1ec87293ab5eab3032c427c985703,0,unknown,216,1.791759469228055
Software Engineer (Junior/Mid-level),Purcell Partners Solicitors,Scoresby,VIC,"Develop and support web applications using C#, .Net Core
2-3 years experience in web-based application development required
Bachelor's in Computer Science or equivalent; full Australian work rights",C#,3.0,https://au.jora.com/job/Software-Engineer-54924e7b835a61ef503eb83650321dd5,1,entry,199,1.3862943611198906
Software Engineer - NV1,Vertical Scope Group,Heidelberg West,VIC,"Design, build, integrate, and document software capability for clients
Engage with stakeholders to clarify user requirements using agile methods
Experience with Java, C#, Python, SQL, DevOps, and Cloud","Agile, C#, DevOps, Java, Python, SQL",5.0,https://au.jora.com/job/Software-Engineer-4000b2732d707e7d46a7d09faedcb962,6,unknown,203,1.791759469228055
Software Engineer,EPG Payroll and HR Pty Ltd,Caringbah,NSW,"Implement visual elements in web applications
Collaborate with product, tech, and delivery teams for solutions
Bachelor's degree in relevant field, 2+ years industry experience",,2.0,https://au.jora.com/job/Software-Engineer-062c6e2bd8c3f5ad037d7e1e3190a419,0,unknown,178,1.0986122886681098
Software Engineer,Verse Group,Crawley,WA,SCHEMA MARKUP ( This text will only show on the editor. ),,5.0,https://au.jora.com/job/Software-Engineer-1b3a11cf09b5670e850a82b989f157e7,0,unknown,57,1.791759469228055
.Net Developer (Senior) (Multiple),Kirra Services,Australia,,Net Developer (Senior) (Multiple),,5.0,https://au.jora.com/job/Net-Developer-3af69ca096ed8b245a7535f31833cdd5,0,senior,33,1.791759469228055
Full Stack developer,BirdDog Australia,Collingwood,VIC,"Develop full-stack applications for BirdDog Connect platform
Experience with Node.js, HTML5, CSS3, RESTful APIs required
Knowledge of video streaming protocols like WebRTC, NDI essential","CSS, HTML, Node.js",5.0,https://au.jora.com/job/Full-Stack-Developer-daf994fb94c555aea5fb3c15af40c0bb,3,unknown,188,1.791759469228055
Graduate Application Developer,GP One Consulting,Wollongong,NSW,"Develop custom applications for large enterprises using ArcGIS software
Tasks include UI design, web/mobile app development, REST API
Bachelor's/master's in computer science or related field required",Rest API,5.0,https://au.jora.com/job/Application-Developer-35b81e69099ff0389d75959504a6f0ad,1,entry,201,1.791759469228055
Senior Microsoft .NET Developer,Kirra Services,Australia,,Senior Microsoft .NET Developer,,5.0,https://au.jora.com/job/Net-Developer-53ac4280487ad0ce07337ec677883c6a,0,senior,31,1.791759469228055
Software Developer - 12 Month Contract,Fantastic furniture,Sydney,NSW,"Develop innovative software solutions supporting various business areas
Strong technical skills in ASP.NET, Web Services, SQL, Azure Cloud
Experience with SDLC, Agile methodology, and retail software development","ASP.NET, Agile, Azure, SQL",5.0,https://au.jora.com/job/Software-Developer-508c0a1a25e1c47f1c2eeb6fdf664479,4,unknown,213,1.791759469228055
"Backend Software Engineer, TikTok Live Revenue",TikTok,Sydney,NSW,"Lead technical projects for scalable, high-performance infrastructure
Develop technology products for 1 billion users at TikTok
Proficiency in Go, Python, Java, C++, computer architecture, databases","C++, Go, Java, Python, Scala",5.0,https://au.jora.com/job/Backend-Software-Engineer-54a798f43a6162599592387f1e109f10,5,unknown,200,1.791759469228055
"Software Development Engineer, Frontend - Payments & Fraud",Easygo,Melbourne,VIC,"Collaborate on payments systems with team members
Bachelor's/Master's in Computer Science with 4-7 years experience
Experience in global payments or fraud systems preferred",,7.0,https://au.jora.com/job/Software-Development-Engineer-55a4b906b766ebb2d595d1e1b793261b,0,unknown,174,2.0794415416798357
Software Engineer,Labour Support Group,Sydney Hills District,NSW,"Design, develop, and maintain custom software solutions for clients
Collaborate with managers and clients to understand business requirements
Bachelor's degree in Computer Science or related field required",,5.0,https://au.jora.com/job/Software-Engineer-4807b0b74e045e3e216766d2b35df97d,0,unknown,207,1.791759469228055
Junior Wordpress Developer,PWD,Stirling,WA,"Build high-quality websites using HTML, CSS, and WordPress
Execute updates, quality assurance, and support for client websites
Work in a collaborative team environment with great perks","CSS, HTML, Word, WordPress",5.0,https://au.jora.com/job/Wordpress-Developer-ef9ef7cbd978b9e7d68a0ad0bcf0b8f6,4,entry,186,1.791759469228055
Software - Developer,Sharp Labour Hire,Sydney,NSW,"Develop and test dashboards and reporting solutions using QlikSense
Lead end-to-end dashboard solutions and support data migration
Collaborate with stakeholders, work in Agile environment, validate data","Agile, Qlik",5.0,https://au.jora.com/job/Software-Developer-1aa2161366a54f610dc447e0684d7737,2,unknown,204,1.791759469228055
Senior Software Engineer (R-17219),Dun & Bradstreet,Melbourne,VIC,"Passionate about data-driven solutions and problem-solving
Part of a smaller team with autonomy to set goals
Opportunity to work in a start-up-like environment",Go,5.0,https://au.jora.com/job/Software-Engineer-413abe0778950a5953c6c977711aed9b,1,senior,161,1.791759469228055
Rigging & Animation Software Developer,Flying Bark Productions,Sydney,NSW,"Develop scalable systems and tools for animation pipeline
5+ years experience in animation pipeline development required
Proficiency in Python, Maya API, USD, and machine learning","Machine Learning, Python, Scala",5.0,https://au.jora.com/job/Software-Developer-42dc99fff0bdd91c66b7cd8e50ccef6c,3,unknown,181,1.791759469228055
Frontend Principal Software Engineer,Nuix,Sydney,NSW,"Developing investigative analytics and intelligence software solutions.
Utilizing AI and Natural Language Processing for data processing
Handling criminal investigations, data privacy, and compliance issues",,5.0,https://au.jora.com/job/Frontend-Principal-Software-44cc608f766cc8e013c1cc6289a240bc,0,senior,208,1.791759469228055
Full Stack Developer,Latitude Financial Services,Melbourne,VIC,"Lead full-stack development projects using ReactJS and GraphQL
Collaborate with interdisciplinary teams to optimize user experiences
Bachelor's in computer science, ReactJS, GraphQL expertise required","GraphQL, React",5.0,https://au.jora.com/job/Full-Stack-Developer-c6d16cc7b814b941d0341a6336f81ef1,2,unknown,202,1.791759469228055
Senior Software Engineer,Bupa Aged Care,Belconnen,ACT,"Contribute to cutting-edge solutions with full-stack development experience
Design, develop, and maintain scalable applications with cross-functional teams
Expertise in Python, Java, or C++ and cloud platforms required","C++, Java, Python, Scala",5.0,https://au.jora.com/job/Software-Engineer-5912c4315ae18b7d4ec3b119835ef0b7,4,senior,220,1.791759469228055
Software Development Team Lead,The Recruitment Company,Brisbane,QLD,"Lead full-stack team with modern tech stack (.NET, React)
Experience in C#, React, TypeScript, SQL, and team leadership
Meaningful work in legal tech, shaping product and team","C#, React, SQL, TypeScript",5.0,https://au.jora.com/job/Software-Development-Team-92bb4609c525fdd6034888cc26a4a6a1,4,senior,177,1.791759469228055
"Mid-level Software Engineer (TypeScript, Golang)",The Onset,Sydney CBD,NSW,"Backend-focused full stack engineer for workflow automation platform
Work with TypeScript, Golang, Node.js, React, Docker, Kubernetes, AWS
Join a well-funded startup, tackle tech debt, and shape architecture","AWS, Go, Node.js, React, TypeScript",5.0,https://au.jora.com/job/Mid-level-Software-85f0c817ca010a9b5c319b671347409c,5,mid,209,1.791759469228055
Software Engineer,Cleared ICT,Scoresby,VIC,"Develop new technologies and systems with web-based UI focus
Collaborate with cross-functional teams in agile environment
Bachelor's degree in Software Engineering or related field preferred",Agile,5.0,https://au.jora.com/job/Software-Engineer-eb32e5d04224ab12a909cf6eab5f3514,1,unknown,192,1.791759469228055
RPG Developer,Auto & General,Toowong,QLD,"Design and develop RPG code for motor claims applications
Experience in OOP, free format RPG, and RESTful API
Work in Scrum team, modernize legacy code, financial services background",Scrum,5.0,https://au.jora.com/job/RPG-Developer-d2dbcdfbd4047bf747631b918f48b6a0,1,unknown,184,1.791759469228055
Graduate Software Engineer - Expressions of Interest Feb 2026,Lockheed Martin,Mawson Lakes,SA,"Apply knowledge of technologies to develop software solutions
Participate in all stages of engineering lifecycle with systems approach
Basic to intermediate skills in MS Office and software applications",,5.0,https://au.jora.com/job/Software-Engineer-375b36878f4d91707806d4e22fe72b1b,0,entry,204,1.791759469228055
Graduate Backend Software Engineer - Multimedia Platform - 2025 Start,TikTok,Sydney,NSW,"Contribute to multimedia processing system design and maintenance.
Contribute to VoD strategy platform for cost-effective transcoding
Develop large-scale distributed systems, focus on task scheduling",,5.0,https://au.jora.com/job/Graduate-Backend-Software-895f16d9618cb9ea3205ba9d2a7c7ea0,0,entry,201,1.791759469228055
"Software Developer - Java, Python, Typescript - Federal GOVT!",Hitech Asia Pacific,Australian Capital,Territory,"Develop and integrate software, document technical processes
Support, maintain, and enhance existing software capability
Experience in Python, Java, Typescript, Kubernetes, OpenShift required","Java, Python, TypeScript",5.0,https://au.jora.com/job/Software-Developer-Java-4405cc82d9233bf168121335ff4358ab,3,unknown,193,1.791759469228055
Software Developer,Software North,Alstonville,NSW,"Develop and integrate systems with government portals for efficiency
Maintain and enhance existing integrations, troubleshoot technical challenges
Proficiency in C-style languages, HTML, SQL, React; Docker experience","Go, HTML, React, SQL",5.0,https://au.jora.com/job/Software-Developer-bfe2f700d4fe4d2b122c1cc2bbd6bf46,4,unknown,218,1.791759469228055
Staff Software Engineer (.Net & AWS),CommBank,Eveleigh,NSW,"Lead and drive technical direction of DevOps Hosting Platform
Design and implement cloud-based solutions using AWS
Mentor junior engineers, ensure code quality, and troubleshoot issues","AWS, DevOps",5.0,https://au.jora.com/job/Staff-Software-Engineer-a11e3649785b289ccdb5c80eab519f7a,2,unknown,186,1.791759469228055
Web Developer,Kirra Services,Canberra,ACT,"Design and manage website content updates to meet requirements
Identify and resolve technical issues affecting website performance
Collaborate with team to improve website functionality and processes",,5.0,https://au.jora.com/job/Web-Developer-6ae8f7853f6664d5d3b830b8e8769412,0,unknown,201,1.791759469228055
Optimizely Front End Developer,Kirra Services,Perth,WA,Optimizely Front End Developer,,5.0,https://au.jora.com/job/Front-End-Developer-cf2aa6457d4869e62741b066e4240fa0,0,unknown,30,1.791759469228055
Junior Developer,Maurice Blackburn Lawyers,Melbourne,VIC,"Customize applications with low-code platforms and languages
Collaborate with cross-functional teams to design and implement new features
Provide ongoing support, troubleshoot issues, and ensure application integrity",Go,5.0,https://au.jora.com/job/Developer-0b5be29b81eb09b232cbab16347199f3,1,entry,218,1.791759469228055
Developer Programmer,SHRIV COMMEDIA SOLUTIONS PTY. LTD.,Westmead,NSW,"5-8 years experience in software development
Bachelor's degree in relevant discipline required
Skills in Java, J2EE, Maven, HTML/Soap, Oracle, SQL","HTML, Java, Oracle, SOAP, SQL",8.0,https://au.jora.com/job/Developer-Programmer-99c289f2a798cfc9136e5ebe308bacbe,5,unknown,148,2.1972245773362196
Software Engineer,Cecil,Australia,,"Develop resilient, scalable software applications in AWS and cloud
Lead end-to-end feature ownership, including design, testing, deployment
Mentor team, improve developer experience, and architectural decisions","AWS, Scala",5.0,https://au.jora.com/job/Software-Engineer-648fbdf4826edba99849bbaaa1c27727,2,unknown,212,1.791759469228055
2025/2026 Summer Software Engineering Intern,BAE Systems,Australia,,"Work on real-world engineering challenges with global impact
Collaborate, communicate, think critically, and be creative
Australian citizen in penultimate year of relevant degree studies",,5.0,https://au.jora.com/job/Software-Engineering-Intern-19f49151c1a021ec5e53e7f8a3ef4401,0,unknown,188,1.791759469228055
Senior Full Stack Engineer | Python,Macquarie Group,Sydney,NSW,"Develop solutions integrated with existing systems for IAM
Lead feature releases, project management, and team leadership
Ensure efficient project delivery aligning with business objectives",,5.0,https://au.jora.com/job/Senior-Full-Stack-02d8a853e2c1cc7ff3b2d9fccf479c7d,0,senior,191,1.791759469228055
Developer Programmer,Capgemini,Melbourne,VIC,"Bachelor's degree in Engineering with 5+ years experience
Design, develop, test, maintain program code in niche skills
Flexible work, career growth, certifications provided.",,5.0,https://au.jora.com/job/Developer-Programmer-566affb674002ca628371b3b154705ef,0,unknown,175,1.791759469228055
Software Engineer,EPG Payroll & HR Australia,Caringbah,NSW,"Implement visual elements in web applications
Collaborate with product, tech, and delivery teams for solutions
Bachelor's degree in relevant field and 2+ years experience",,2.0,https://au.jora.com/job/Software-Engineer-2ddfce95fb23a93f7f1d096c58059b69,0,unknown,172,1.0986122886681098
Graduate 2026 – Software Engineer,Superloop,Sydney,NSW,"Design and implement innovative software components and systems
Engage in code reviews and ensure top-quality work
Bachelor's degree in Computer Science or related field required",,5.0,https://au.jora.com/job/Software-Engineer-7230aa036016b130c5a0c8f43c04e8ff,0,entry,180,1.791759469228055
Multiple Senior .Net/react and Sitecore Software Developers,Palisades Australia,Canberra,ACT,"Requires tertiary qualifications in ICT or industry certifications
Experience with Microsoft .NET Core, ReactJS, Azure DevOps
Minimum 2 years' experience with Sitecore platform development","Azure, DevOps, React",2.0,https://au.jora.com/job/Multiple-Senior-Net-567a0df6f4064f5fb1841b89f62caa4d,3,senior,190,1.0986122886681098
Full Stack Developer,Latitude Financial Services,Melbourne,VIC,"Lead full-stack development of website projects using ReactJS
Collaborate with interdisciplinary teams to deliver top-tier digital solutions
Bachelor's degree in computer science; expertise in GraphQL and ReactJS","Git, GraphQL, React",5.0,https://au.jora.com/job/Full-Stack-Developer-a642c90ccbe4224bdd7065a2426df248,3,unknown,214,1.791759469228055
.Net,eTeam,Sydney,NSW,"AWS (SQS, EC2, CloudFormation, ELBs) Maven Gradle Git/Stash Splunk Powershell NUnit + Moq JUnit + Mockito","AWS, Git, PowerShell, Shell, Splunk",5.0,https://au.jora.com/job/Net-231c0906e7eb6a01e4579c1e51c65a44,5,unknown,105,1.791759469228055
Website Developer,IntoWork Australia,Melbourne,VIC,"Develop, maintain, and optimize front-end and back-end web applications
Minimum 4 years experience in HTML, CSS, JavaScript, React, AWS
Collaborate with marketing, design, and IT teams for digital solutions","AWS, CSS, Git, HTML, Java, JavaScript, React",4.0,https://au.jora.com/job/Website-Developer-6298b944711f185d0e0107e7d1acb156,7,unknown,208,1.6094379124341003
"Backend Software Engineer, Trust and Safety Engineering",TikTok,Sydney,NSW,"Build scalable trust and safety platform and tools
Collaborate with specialists and machine learning engineers
Bachelor's in computer science, 2+ years experience, problem-solving skills","Machine Learning, Scala",2.0,https://au.jora.com/job/Backend-Software-Engineer-7b06bfee942bf91a4381cf7bab080127,2,unknown,188,1.0986122886681098
Software Developer- Professional Internship Program,Eightfold Institute of Australia,Melbourne,VIC,"Internship program for software/computer science students
Gain hands-on experience in client application development and testing
Opportunity to work with host companies in Melbourne through rotations",,5.0,https://au.jora.com/job/Software-Developer-1b69564034e71e82bc593bdfbc290d2f,0,unknown,201,1.791759469228055
Software Engineer,seek.com.au,Tuggerah,NSW,"Provide technical support using Agile or Scrum methodologies
Collaborate with subject matter experts for effective project delivery
Bachelor's in Software Engineering, experience in JavaScript, Python, C++","Agile, C++, Java, JavaScript, Python, Scrum",5.0,https://au.jora.com/job/Software-Engineer-1c055ce7946215ef07f6e6bd177c23ef,6,unknown,207,1.791759469228055
Software Engineer - Developer Platform - Remote across ANZ,Canva,Sydney,NSW,"Enhancing Canva's remote developer environments and local developer experience
Expertise in Computer Engineering, Linux, AWS, containerization.
Develop internal tools, promote teamwork, meet requirements","AWS, Linux",5.0,https://au.jora.com/job/Software-Engineer-003b83cf3bbce84a562e52c1b979ae64,2,unknown,205,1.791759469228055
Angular / AWS Software Developers,Recruitment Hive,Canberra,ACT,"Develop robust software for digital products in agile environment
Provide technical guidance on Angular and AWS technologies
Contribute to building scalable digital platforms for government and industry","AWS, Agile, Angular, Git, Go, Scala",5.0,https://au.jora.com/job/Software-Developer-afa17451e851d3b0ce38ab38b20e5261,6,unknown,204,1.791759469228055
Software Engineer,CommBank,Eveleigh,NSW,"Design and develop Microservices using NodeJS, Typescript, JavaScript
Collaborate within the team on design, development, testing, and deployment
Experience with Git, React, HTML5, CSS3, Node.js, TypeScript","CSS, Git, HTML, Java, JavaScript, Microservices, Node.js, React, TypeScript",5.0,https://au.jora.com/job/Software-Engineer-ba262dc4d9109ffb1cb0db28b72af213,9,unknown,208,1.791759469228055
Software Engineer - Front End,Emesent,Brisbane,QLD,"Implement and maintain efficient, scalable, and robust React Native code
Engage with stakeholders to plan features meeting business needs
Deep understanding of React Native, Typescript, CSS, and Javascript","CSS, Java, JavaScript, React, Scala, TypeScript",5.0,https://au.jora.com/job/Software-Engineer-Front-b1fbeb0da27f387aaaa800a4d967f874,6,unknown,207,1.791759469228055
Software Engineer,Appentency Recruitment Services,South Melbourne,VIC,"Participate in software development, testing, and integration
Bachelor's degree in Computer Science or related field required
Experience with Agile, Scrum, and various development tools","Agile, Scrum",5.0,https://au.jora.com/job/Software-Engineer-95118349590bf412d0285414bda5618c,2,unknown,187,1.791759469228055
Senior Quantitative Developer - 90% Remote,Profusion Group,Perth,WA,"5+ years finance/investments experience in Front Office
Degree in Business, Commerce, Finance, Accounting or similar
Strong Excel, SQL, VBA, and/or Python skills required","Excel, Python, SQL, VBA",5.0,https://au.jora.com/job/Quantitative-Developer-4efcde4157041ae8ac66e986d3a17e1a,4,senior,172,1.791759469228055
Software Engineer,CommBank,Sydney,NSW,"Contribute to innovative healthcare solutions with web and mobile development
Collaborate in full stack engineering, API development, and systems integration
Work with .NET Core, Angular, SQL Server, Azure or AWS","AWS, Angular, Azure, SQL, SQL Server",5.0,https://au.jora.com/job/Software-Engineer-63e6d5f7edfba2069c08a3a6c031fc70,5,unknown,214,1.791759469228055
Software Engineer – Backend Development,Raptortech,Belmont,WA,"Design and develop APIs, microservices, and server-side applications
Optimize databases, implement real-time data processing for mining operations
Bachelor’s in Computer Science, backend dev experience with Python, Node.js","Microservices, Node.js, Python",5.0,https://au.jora.com/job/Software-Engineer-Backend-0822e6c5435c5b81970e3144dadc14d4,3,unknown,224,1.791759469228055
Software Development Engineer - Internship,Workday,Brisbane,QLD,"12-week internship in software development at leading SaaS company
Work on full-stack development with scrum team and product managers
Applicants must be in penultimate year of degree in 2025",Scrum,5.0,https://au.jora.com/job/Software-Development-Engineer-59805e850b04965fd41741000af60133,1,unknown,193,1.791759469228055
Software Engineer,Amazon Web Services,Sydney,NSW,"Design, develop, test, deploy, and maintain software solutions
Bachelor's in Computer Science with 3+ years software development experience
Proficiency in Python, Java, Typescript, Scala, Golang, C++ or C#","C#, C++, Go, Java, Python, Scala, TypeScript",3.0,https://au.jora.com/job/Software-Engineer-483118c26c7f21212813ac538cb5e6de,7,unknown,207,1.3862943611198906
Staff Platform Engineer - Murex Resilience,Hays Recruitment,Sydney CBD,NSW,"Support Murex platform functions like Front-Office/Pre-trade, Market Risk
Hands-on experience with Murex stability and performance is essential
Experience in cloud services, CI/CD pipelines, Python, and mentoring","CI/CD, Python",5.0,https://au.jora.com/job/Platform-Engineer-5437f46d57f7c2b5b2e86bcde0c5bca9,2,unknown,214,1.791759469228055
WSO2 Developer/Support Analyst,eTeam,Sydney,NSW,"Develop integrations using WSO2, Java, Spring frameworks
Support and debug services in Tibco BW, AWS technologies
Experience in REST APIs, Swagger, client coordination, global delivery","AWS, Java, Rest API, Spring",5.0,https://au.jora.com/job/Support-Analyst-6c0632685b99057ee3e8abf9ee0f3355,4,unknown,186,1.791759469228055
Power Platform Developer,Randstad,Adelaide,SA,"Skilled in Power Apps, Power Automate, and SharePoint integration
Experience in Agile environments with DevOps practices
Australian Citizen; team player; competitive pay.","Agile, DevOps",5.0,https://au.jora.com/job/Platform-Developer-bd0c9da07d08c11686660707538d6638,2,unknown,172,1.791759469228055
Software Development Graduate,Amazon Web Services,Sydney,NSW,"Develop software end to end with global team collaboration
Strong coding skills in C/C++ and/or Java on UNIX/Linux
Degree in Computer Science/Engineering/Information Technology required","C++, Java, Linux",5.0,https://au.jora.com/job/Software-Development-Graduate-e28d5669e5058b2397f18219bb185c18,3,entry,187,1.791759469228055
"Software Development Graduate , (2025 Melbourne, Ads Core Services)",Amazon Support Services Pty Ltd - D05,Melbourne,VIC,"Develop software end to end, work with stakeholders, own operations
Strong coding skills in C/C++ or Java on UNIX/Linux platform
Skills in distributed systems, algorithms, databases, optimization math.","C++, Go, Java, Linux",5.0,https://au.jora.com/job/Software-Development-Graduate-8fb20773bfe0496b1c6dd60429af09cf,4,entry,203,1.791759469228055
Software Engineer (Web Extensions),Affix,Woollahra,NSW,"Utilize necessary and statistic cookies for website functionality
Improve site performance through analytics cookies and visitor data
Enhance user experience by remembering preferences and secure access",,5.0,https://au.jora.com/job/Software-Engineer-47958bc0662caad5938f99c1b7068f8e,0,unknown,204,1.791759469228055
Software Engineer,Whitecollars,Sydney,NSW,"Develop user-friendly solutions in Python and TypeScript
Collaborate with product managers and engineers for end-to-end development
3+ years experience in SaaS, proficiency in React, FastAPI","FastAPI, Python, React, TypeScript",3.0,https://au.jora.com/job/Software-Engineer-35cd1861f1183960b1cbb4edb0a2eca8,4,unknown,192,1.3862943611198906
AEM Back End Developer/AEM+JAVA+BE,eTeam,Australia,,"Expertise in AEM technologies, Java/J2EE, and test automation
Familiarity with Agile methodology, Scrum, and various testing tools
Experience in AEM environment architecture and related technologies","Agile, Java, Scrum",5.0,https://au.jora.com/job/AEM-Back-End-a62a8f56da4046db22cf363c41ba551c,3,unknown,200,1.791759469228055
