Title,Company,City,State,Description,Skills,Experience,Job URL
Senior Implementation Consultant,Jiffi,Caringbah,NSW,"Lead end-to-end project delivery ensuring scope, budget, timeline
Develop client relationships, align solutions with business goals
5+ years consulting experience, strong communication and problem-solving skills",Go,5,https://au.jora.com/job/Implementation-Consultant-a9031cd0226ec30f3856ec79fcbb61b0
"Generalist Junior Consultant and Consultants, Perth",The Boston Consulting Group,Perth,WA,"Join global consulting team on challenging projects at client sites
Opportunity for growth with mentorship, training, and bespoke development
Seeking candidates with 3+ years consulting or industry experience",,3,https://au.jora.com/job/Consultant-ea9476a3fff9493158d48b93af2433c0
"SASE Sales Specialist, Federal",Palo Alto Networks,Canberra,ACT,"Responsible for delivering new clients in growing territories
Drive strategic deals to closure for SASE solutions penetration
Manage account profiles, support communication, and strategize marketing.",SAS,0,https://au.jora.com/job/Sales-Specialist-18d4e8b40541b4fe87bc420801518fb2
Cloud Engineer - Google Cloud Platform,Infosys,Melbourne,VIC,"Bachelor's or Master's degree in Computer Science or Engineering
Minimum 5 years IT experience in software development required
Proficiency in Unix, Python, GCP Fundamentals, Data warehouse concepts","GCP, Python",5,https://au.jora.com/job/Cloud-Engineer-d35066de6a0e9e0fb94564d92c266bed
Adobe Target Consultant,Capgemini,Melbourne,VIC,"Implement website optimization and customized experience strategies
Configure and operate Adobe Target for multi-channel campaigns
Graduate degree in Engineering or Computer Science required",,0,https://au.jora.com/job/Consultant-5312e7af2317ec1888cf9ed508033e44
Senior Functional Consultant Workday,Datacom,Melbourne,VIC,"Support customers in transforming organizations and solving challenges
Collaborate with over 200 tech partners on various projects
Work on sustainable solutions and bespoke IT systems and processes",,0,https://au.jora.com/job/Functional-Consultant-dfa1496aba595c45dd80b0f7125984c0
Celonis Consultant - AIA,Infosys,Sydney,NSW,"Drive process improvement using Celonis Process Mining platform
Analyze processes, identify inefficiencies, and offer optimization solutions.
Collaborate, automate processes, and manage cross-functional projects.",,0,https://au.jora.com/job/Consultant-e9e6575792a3a673ef62cdcf51933198
Recruitment Consultant – Engineering /Technical,Intercruit,Perth,WA,"Build relationships in white-collar engineering industries
Manage existing contractor base, clients, candidates, and jobs
Work in a city center office for a national organization",,0,https://au.jora.com/job/Recruitment-Consultant-b3e7daa0e7e9e27a86f67307ceaed4ce
VMWare Specialist - VRO/VRA,Green Light,Sydney CBD,NSW,"Skilled VMWare and VRO/VRA consultant for government projects
Update Low-Level Design document for end-state architecture
Australian Citizen with Baseline security clearance or willingness to obtain","Go, VMware",0,https://au.jora.com/job/VMware-Specialist-aa31548ab21b5c4785026f25877612ff
Dynamics 365 F&O Consultant 2 (Relocate to Malta/Big 4),Black Pen Recruitment,Canberra,ACT,"5+ years consultancy experience with 3 end-to-end implementations
Microsoft Dynamics certifications in Finance Module required
Strong MS Office skills, especially in Word, Excel, PowerPoint","Excel, Word",5,https://au.jora.com/job/Consultant-1f83c457845b1431e49e242a96d94612
Identity & Access Management (IAM) Consultant,Randstad,Melbourne,VIC,"Lead IAM system troubleshooting and technical support
Implement and configure IAM solutions, manage platform integration
Client engagement, solution delivery, and continuous improvement initiatives",,0,https://au.jora.com/job/Identity-Access-Management-8c77147b0a696ffbdafa2d318e82fded
PEGA CDH Consultant,Infosys,Melbourne,VIC,"12+ years experience in Pega CDH technology solutions
Certified Pega Lead Decisioning Architect or Lead System Architect
Proficient in AI, database solutions, client engagement, and communication",,12,https://au.jora.com/job/Consultant-89b46f4de184ffb4fb267ca3664bf6ed
ServiceNow Technical Consultant,xAmplify,Sydney CBD,NSW,"Join dynamic ServiceNow team on cutting-edge projects
Experience in ServiceNow admin, development, and certifications preferred
High-trust culture, excellent communication skills, and flexible work locations",Excel,0,https://au.jora.com/job/Technical-Consultant-6fab9608195156f8bb90871fc68ead8b
ILS Consultant,Nova Systems,Canberra,ACT,"Support various projects in EWIS Maritime SPO with ILS expertise
Experience in Defence contracting and RAM concepts required
Australian Citizenship and AGSVA Clearance eligibility essential",,0,https://au.jora.com/job/Consultant-d76a8a91a0f932794a9b7f03991d86cf
Dayforce Technical Senior Consultant,Deloitte,Sydney,NSW,"Minimum 2 years experience in HCM technical design
Expertise in Dayforce integrations and data management required
Strong communication, problem-solving, and organizational skills essential",,2,https://au.jora.com/job/Technical-Consultant-67676f0e5c06f49762f564974e4caeb7
Sales Consultant,Hays Recruitment,Launceston,TAS,"Manage day-to-day sales functions and activities to meet targets
Assess client needs, find new markets, and provide solutions
Deliver exceptional customer service, improve brand awareness, meet KPIs",,0,https://au.jora.com/job/Sales-Consultant-e8f607ecf4c77ea6a3d4c9893b20b815
Consultant/Senior Consultant - SAP Success Factors,Deloitte,Sydney,NSW,"Minimum 5 years' experience in SAP SuccessFactors technical/functional
Project experience in implementation and data migration beneficial
Strong communication skills, team player, and analytical mindset required",SAP,5,https://au.jora.com/job/Consultant-8ff2edee9165f645ec1b2241cdd59fcf
Manager - Technology Risk - Consulting,EY,Melbourne,VIC,"Advise on managing Digital risks for various clients
Apply new Digital skillsets and project management skills
Minimum 2 years' experience in audit or risk management",Git,2,https://au.jora.com/job/Manager-Technology-Risk-596bd058ae2b28e9b1070e3bb610db75
Business Analyst (EOB),Kirra Services,Perth,WA,"Perth-based role for Business Analyst with Integration and Data skills
Conduct workshops, refine backlogs, and work in agile environment
Experience in process improvement, working with diverse teams/customers",Agile,0,https://au.jora.com/job/Business-Analyst-82fdd699f07c3b7275b7ef070bfaeffc
Technical Analyst Graduate Program,FDM Group,Sydney,NSW,"Join FDM to work with top Australian companies
Fast-track tech career with upskilling program and real-world experience
University grads with problem-solving skills, relocation flexibility wanted",,0,https://au.jora.com/job/Technical-Analyst-6cefd9ef8ba0cc66ac0cd323fa5813bc
2026 AMP Technology Graduate Program,AMP,Sydney,NSW,"Join AMP Technology Graduate Program for 2-year structured rotations
Enhance technical skills in designing and developing systems.
Eligible if Australian/NZ citizen, completed tech bachelor's degree in 2024/2025",,0,https://au.jora.com/job/Technology-Graduate-9d31f1c955c8ec63ce9d645739121f88
Microsoft BI Consultant,Zone IT Solutions,Adelaide,SA,"Design, develop, and implement Microsoft BI solutions for clients
Strong experience with Microsoft BI stack, SQL Server, SSIS, SSAS
Proficient in creating visually appealing reports and dashboards with Power BI","Power BI, SAS, SQL, SQL Server, SSIS",0,https://au.jora.com/job/Microsoft-BI-Consultant-fc6fbe3d3c268734f0220cdac91e8da3
Lead Change and Business Transformation Manager,Clicks IT Recruitment,Australian Capital,Territory,"Lead strategic initiatives aligning with organizational goals
Manage change, stakeholder relationships, and risk associated with initiatives
Collaborate with IT teams for seamless integration of technologies","Go, SSO",0,https://au.jora.com/job/Business-Transformation-Manager-cca8601e72198161f7e387691c6ec118
Data Analyst- Energy Solutions,Infosys,Melbourne,VIC,"Support business designer and product owner with data needs
Analyze data hub, define requirements, collaborate with data teams
Skills in relational databases, AWS, data modeling, Excel, ETL","AWS, ETL, Excel",0,https://au.jora.com/job/Data-Analyst-f3a0dd2542673c20b75232dd134e5695
OCM- HCM Consultant,Infosys,Sydney,NSW,"Lead HCM transformation projects and HR service delivery solutions
Develop employee experience strategies and HR process design
Contribute to practice development, lead teams, and mentor consultants",,0,https://au.jora.com/job/Consultant-bc41cda56b13366e12bef1a71c672456
Digital Strategy Consultant (DX/UX Strategy),Squiz,Melbourne,VIC,"Develop digital strategies for clients to achieve business objectives
Facilitate stakeholder workshops, define web solutions, and create roadmaps
Prior consulting or digital agency experience, strong communication skills",Git,0,https://au.jora.com/job/Digital-Strategy-Consultant-41af98f06d0ece58e93abda5ec074cff
Management Consultant -Baseline,Deloitte,Canberra,ACT,"Engage with high-profile public-sector clients on challenging business issues
Utilize structured problem-solving approaches and frameworks for analysis
Minimum AGSVA baseline clearance required for Federal Government experience",Go,0,https://au.jora.com/job/Management-Consultant-a0b07f06e36f0e7a8ad21c54338ee22b
Associate Consultant,Veeva Systems,Sydney,NSW,"Develop technical consulting and software solution design skills
Engage in process workshops, gather requirements, and configure
Bachelor's degree in relevant field, leadership skills, and English proficiency",,0,https://au.jora.com/job/Consultant-60184f8d6ea7fd6c2a90c8860af308be
Senior Access Consultant,Jensen Hughes,Melbourne,VIC,"Support various projects in commercial buildings, airports, and schools
Collaborate with clients for Access safety measures and compliance reports
Relevant degree and construction industry experience required.",,0,https://au.jora.com/job/Access-Consultant-90cd79f79b3f764e6557725a82f71897
Change Consultant,Agency : Health Support Services,Perth,WA,"Develop and implement project change plans with stakeholders
Coordinate and align people side of change for successful outcomes
Support Change Manager in implementing suitable change methodology",,0,https://au.jora.com/job/Change-Consultant-28d121eaada2bf6c0d83c16461056499
Senior Technology Business Consultant - Lending,FIS Systems Pty. Ltd.,Sydney CBD,NSW,"Advanced knowledge in Commercial Loan Origination & Credit Assessment
Business modeling & Agile requirements proficiency required.
Experience collaborating with Banking customers to define solutions",Agile,0,https://au.jora.com/job/Technology-Business-Consultant-c5398849cdb630319ca850b4d104551e
"Infrastructure Operations Engineer - DevOps,NOC",Appentency Recruitment Services,South Melbourne,VIC,"Execute daily preventative maintenance & respond to incoming events
Focus on service improvement through automation and scripting
Required qualifications include MCSE, VMWare, CCNA, ITIL Foundation","ITIL, VMware",0,https://au.jora.com/job/Operations-Engineer-d1a79baa8092941c1192ea064f0fc63e
Senior Infrastructure Engineer,Akkodis,Canberra,ACT,"Manage Data Centre operations, upgrades, and system performance monitoring
Experience with AC and UPS upgrades, rack management, and security
Vendor coordination, security enforcement, upgrade project support",,0,https://au.jora.com/job/Infrastructure-Engineer-e24bb5602f4c7d5462a553f730598005
Technology Transformation Lead,Infosys,Sydney,NSW,"Develop strategies to address complex business challenges and opportunities
5+ years experience in strategy consulting and corporate strategy
Prefer advanced degrees and top 10 Australian University education",,5,https://au.jora.com/job/Transformation-Lead-a0042853bbc5a1267d761874a8a505c9
Change Management Consultant (M365 Adoption focused),Engage Squared,Sydney,NSW,"Lead change and adoption projects for Microsoft technologies
Develop and deliver training, communication campaigns, and user personas
Experience with Microsoft 365, PROSCI, and stakeholder engagement required",,0,https://au.jora.com/job/Change-Management-Consultant-2df6794ac5dd2b2e514b3d14bac0a4a0
Associate Consultant,Appian Group,Sydney,NSW,"Construct, implement, and deploy process-centric business solutions
Analyse client's business strategy and develop technical solutions
Superior academic success and understanding of coding language required",,0,https://au.jora.com/job/Consultant-3f700ce77c579db19683a50029e616e5
Enterprise Advisory Consultant,DocuSign,Sydney,NSW,"4+ years consulting experience with international firm
Strong analytical skills and executive-level communication abilities required
BA/BS degree in quantitative field or related area",,4,https://au.jora.com/job/Advisory-Consultant-03f2ef11f454e0470a894cd589a37a69
It technician,Department of Health Tasmania,Latrobe,TAS,"Provide frontline IT support in North-West Tasmania
Troubleshoot hardware and software issues, process improvement focus
Permanent full-time role with on-call rotation, professional development",IT Support,0,https://au.jora.com/job/It-technician-9d214294108529fad1500a1d72daed25
Implementation Consultant,HealthMetrics,Heatherton,VIC,"Implement eCase products for Home Care and Aged Care providers
Extensive experience in software implementation and project management required
Collaborate with internal stakeholders to deliver efficient issue resolution",,0,https://au.jora.com/job/Implementation-Consultant-1aa74b08f249ab911f3e88180996719b
Senior Security Consultant,Infosys,Sydney,NSW,"Provide security technology consulting services for business needs
Develop and implement technical solutions, ensuring security best practices
10+ years experience in Security Analyst role, Mainframe expertise",,10,https://au.jora.com/job/Security-Consultant-ccf182e060a2314b973ab7c4420c3684
Sales Support,Appentency Recruitment Services,South Melbourne,VIC,"Support Sales team in achieving company's growth objectives
Maintain accurate customer account information and provide high-quality service
Minimum 2 years experience in Account/Sales roles and MSP environment",,2,https://au.jora.com/job/Sales-Support-ec2a34c8c2d4c449baec8d93c3b0cfa0
Senior Consultant,Fujitsu,Melbourne,VIC,"Design and implement Azure-based and on-premises infrastructure solutions
Lead Azure cloud migration projects and develop Infrastructure-as-Code solutions
6-10 years experience, Azure certifications, and expertise in cloud technologies",Azure,10,https://au.jora.com/job/Consultant-10dbfe7403d46cdef3d4889a61415568
SharePoint Consultant,Clicks IT Recruitment,Sydney,NSW,"Support Asia Pacific region with customised SharePoint solutions
Manage customer success, adoption, and technical support efficiently
5+ years SharePoint experience, customer-centric, remote work proficient",,5,https://au.jora.com/job/SharePoint-Consultant-6d7b79a9255aec1e1435b95d8f1ada5d
Customer Success Representative,Zonos AU Pty Ltd,Varsity Lakes,QLD,"Provide world-class support and technical expertise to customers
Act as primary contact for inquiries, concerns, and technical issues
Collaborate with Sales, Product, and Engineering teams for improvements",,0,https://au.jora.com/job/Customer-Success-Representative-629f1e187e6e68f81fb3b4f31ecc712e
Senior Functional Consultant Workday,Datacom,Melbourne,VIC,"Lead Workday HCM workstreams for high profile clients
Strong technical knowledge and certification in Workday modules
Excellent stakeholder management and communication skills required",Excel,0,https://au.jora.com/job/Functional-Consultant-fba483337b09cf9f9bc304df42048b04
Customer Success Consultant,Phocas,Sydney,NSW,"Drive brand awareness, user adoption, and revenue growth activities
Provide exceptional service, coaching, and training to customers
Bachelor's degree, 3+ years Customer Success experience, financial knowledge",,3,https://au.jora.com/job/Customer-Success-Consultant-703c0f531bef40c048832a62829606f1
Network Security Architect,Thales,Barangaroo,NSW,"Lead network security projects and compliance assessments
Minimum 10 years experience in network and cyber security
Industry certifications preferred from Amazon AWS, Microsoft Azure, Google GCP","AWS, Azure, GCP, Go",10,https://au.jora.com/job/Network-Security-Architect-02ae5dff67edc75ff95e7ea45c772f08
SAP SRM Consultants,Zone IT Solutions,Sydney,NSW,"Minimum 3 years experience in SAP SRM consulting role
Hands-on experience in SAP SRM modules and integration
Strong problem-solving skills and ability to work independently or in a team",SAP,3,https://au.jora.com/job/Consultant-e32f1e203e14661f4ff49480ea8c2206
"Managing Consultant/PMO, Advisors Program Management",MasterCard,St Leonards Park,NSW,"Lead execution of client-facing programs for measurable value
Manage projects with strategic impact, IT knowledge and leadership skills
Manage digital programs, build client relationships, analyze systems",Git,0,https://au.jora.com/job/Managing-Consultant-342c4dfe77387158eb2aeb74cc27f5b1
"Associate Managing Consultant/Business Analyst, Advisors Program Management",MasterCard,St Leonards Park,NSW,"Analyze business processes and develop strategies for efficiency
Collaborate with stakeholders to gather detailed business requirements
Bachelor's degree, strong analytical skills, proficiency in data analysis",,0,https://au.jora.com/job/Managing-Consultant-862e7b1fb79f0ffe55d6dc410ce488d0
Business Analyst - Energy Shipping & Trading,Infosys,Melbourne,VIC,"Deliver business analysis for energy shipping and trading sector
Collaborate with cross-functional teams for successful project delivery
Required skills: problem solving, analytical thinking, technical understanding",,0,https://au.jora.com/job/Business-Analyst-13c69e20bc1c33813a862f7298fad0ef
Oracle Functional Consultant,TPG Telecom,Barangaroo,NSW,"Configure Oracle Finance and Procurement modules based on business requirements
Translate business needs into functional specifications with stakeholders
Provide end-user training, support, and ensure system integration",Oracle,0,https://au.jora.com/job/Oracle-Functional-Consultant-709e135705ae7142f30f7d742dcbf47d
IT Configuration and Asset Lead,Lime Recruitment,Brisbane,QLD,"Manage CMDB and IT assets for seamless IT operations
Lead configuration management processes and procedures for accuracy
Minimum 5 years experience in IT asset management required",,5,https://au.jora.com/job/IT-Configuration-and-e76a4f98bb401f50b33fbcf0a3b46bc0
Principal Consultant,Infosys,Brisbane,QLD,"Lead IT operations team with focus on Active Directory landscape
Oversee governance, productivity, and quality improvements at subdomain level
Required: 10+ years IT ops experience, MCSE, MCSA, ITIL certifications","Active Directory, Go, ITIL",10,https://au.jora.com/job/Consultant-bd1a2b167b2b91a723b47387bb426b16
"Examinations, Certification and Testing - Talent Register",Department of Education WA,Cannington,WA,"Supporting educational services and initiatives in Western Australia
Roles include administration, examination support, data support, and ICT
Benefits: superannuation, flexible work, leave entitlements",,0,https://au.jora.com/job/Examinations-Certification-and-6741d0502df2ebd4c29ca4b51b1a60e9
Sales Consultant,Appentency Recruitment Services,Melbourne,VIC,"Hunt for new business and network with business owners
Sales experience in IT sales with exceptional communication skills
Commission-based role with training in IT products and marketing",,0,https://au.jora.com/job/Sales-Consultant-0019f07392a02fd41a77e6b2341ab311
ACT Sales Lead - ICT Recruitment & Workforce Solutions,The Network,Kingston,ACT,"Lead ACT team in delivering ICT recruitment services and solutions
Engage with mid-large enterprise businesses, building strong relationships
Opportunity for career growth to ACT GM, industry recognition",,0,https://au.jora.com/job/Sales-Lead-90b170c61b5efe6dfa3567005e1bf4c1
Sailpoint Consultant,NXTGIG,Sydney,NSW,"Implement, configure, and optimize SailPoint IdentityIQ solutions
Design workflows, connectors, and policies for automated processes
Bachelor's in Computer Science, experience with Java scripting required",Java,0,https://au.jora.com/job/Consultant-4339ce8cb6104bbd29abc8966eff0e25
Business Consultant - Corporate Performance Management,TechnologyOne,Sydney,NSW,"Consult on TechnologyOne's CPM solution for customer programs
Experience in financial planning, budgeting, and reporting implementations
Collaborate with internal teams and drive business transformation",,0,https://au.jora.com/job/Business-Consultant-85702db616af8a8d05dc0a2372524931
VMWare Specialist Consultant - VCF,Green Light,Sydney CBD,NSW,"Skilled VMWare and VCF consultant for large government projects
Update Low-Level Design document to capture end-state architecture
Requires Australian Citizenship and NV1 security clearance or willingness","Go, VMware",0,https://au.jora.com/job/Specialist-Consultant-1d70a93b0b018177e1f7201215d285db
Customer Care Consultants,BizCover,Sydney,NSW,"Provide exceptional customer service via email, phone, and chat
Troubleshoot technical issues and offer tailored advice to customers
2+ years customer service, strong communication, problem-solving",,2,https://au.jora.com/job/Customer-Care-Consultant-23999dc885b57d9459eb85b5a5cdf441
Consultant to Senior Manager - Commercial & Financial Analytics | Technology Consulting,MinterEllison,Canberra,ACT,"Experienced in IT financial analysis and pricing strategies
Skilled in financial modeling, budgeting, and forecasting
Qualifications in CA/CPA, finance, IT, or related fields required",,0,https://au.jora.com/job/Consultant-7334f20c2ee3d740a08be3e64a4387f8
Business Consultant - Low Code platforms,NXTGIG,Sydney,NSW,"Consult with clients to identify low-code solutions for efficiency
Design and implement applications using low-code platforms
Bachelor's degree in Business/IT, experience in low-code platforms required",,0,https://au.jora.com/job/Business-Consultant-761bf95a68430614b279a33092a1a59e
Business Analyst (Technical),eTeam,Sydney,NSW,"Minimum 5 years experience in banking and financial services
Strong stakeholder management and agile team collaboration skills
ITIL certification, Confluence/Jira proficiency, and IT financial knowledge","Agile, Confluence, ITIL, Jira",5,https://au.jora.com/job/Business-Analyst-Technical-de02991c8345d5a4c5aff4491d7d9cbb
EA Inside Sales Support,Appentency Recruitment Services,South Melbourne,VIC,"Provide support to internal team & customers via various channels
Collaborate with sales, marketing, and technical teams to close opportunities
Passion for exceptional customer service & drive for career development",,0,https://au.jora.com/job/EA-Inside-Sales-6924bf4e1982c8dd862ca67b345f8076
Recruitment Consultant - Part Time,Workhorse Staffing,Wyong,NSW,"Recruit for skilled blue-collar, trades, and engineering positions
Flexible part-time hours, commission-based earnings, supportive work culture
Recruitment experience, client relationship building, tech utilization required.",,0,https://au.jora.com/job/Recruitment-Consultant-abb5c73265b307fd5748367b326f5c11
Tech BA – Credit Risk,Kirra Services,New South,Wales,"Minimum 10+ years tech BA experience in IT consulting
Experience in credit risk in banking and data initiatives
Degree in Computer Science or related field, project certifications",,10,https://au.jora.com/job/Tech-BA-Credit-ff97229f9ebc5c08c8cf4c2dbb06d0d0
Qualified Systems Administrator,Sherry Consultant Services,Dandenong,VIC,"Maintain operating systems, troubleshoot, and ensure system performance
Implement security protocols, liaise with vendors, and monitor performance
Bachelor's degree in IT, 1-3 years experience, strong system security",,3,https://au.jora.com/job/Systems-Administrator-5e882455324697977252425e24751c68
Legal Technology/E-Discovery Consultant,AFL Recruitment - Accounting Financial Legal,Sydney,NSW,"Provide e-discovery support to clients in litigation/corporate matters
Improve information/document procedures and educate legal staff on technology
Require 3+ years legal technology experience and project management skills",,3,https://au.jora.com/job/Consultant-d88690a6c12df68b0c5009c897a5d617
"BDM (Contractor – Recruitment, People & IT Solutions)",Appentency Recruitment Services,Sydney,NSW,"B2B sales role with focus on IT, digital, and HR solutions
Commission-based role with flexibility to work from anywhere
Requires strong sales, communication skills & IT understanding",Git,0,https://au.jora.com/job/Contractor-790da157f90e048a4445f463df1bbd2a
System Engineer,Akkodis,Brisbane,QLD,"Minimum 4 years experience in SCCM, Intune, M365 support
Expertise in SOE implementation, MDM/MAM, ASD Essential 8 controls
Work in ITIL aligned service management team, Agile project delivery","Agile, ITIL",4,https://au.jora.com/job/System-Engineer-326fa32994bbf3d26adf864e5f87aa41
Timetabling Consultant,Compass Education,Hawthorn,VIC,"Support Griddle team in sales, onboarding, training, and support
Utilize market knowledge to suggest product improvements
Strong technical skills and experience in school timetabling required",,0,https://au.jora.com/job/Consultant-60ec3ecf6071a32e5c2f1a8062ea56bd
BDM / Account Manager – IT & Digital Recruitment,Appentency Recruitment Services,Sydney,NSW,"Client success role focusing on IT & digital recruitment
Responsible for new client acquisition and managing existing clients
Requires exceptional communication, business development, and sales experience",Git,0,https://au.jora.com/job/Account-Manager-de876b8bce64e1759feb00835c5f9713
Presales System Engineer,Hitachi Vantara,Canberra,ACT,"Lead technical sales efforts, build customer-centric value propositions
Provide technical engagement on key deals, nurture partner relationships
Develop technical solutions, present to partners/customers, drive outcomes",,0,https://au.jora.com/job/Presales-System-Engineer-f0a8721091945fe8323904dc4097e624
Implementation Consultant,RLDatix,Melbourne,VIC,"Configure products to meet customer requirements, ensuring best practices
Lead user-level workshops to capture business requirements
Healthcare experience, project management, software implementations",,0,https://au.jora.com/job/Implementation-Consultant-16f1e0bb80d496f42a5d562d9b565af8
IT Infrastructure Engineer,Blackroc,Sydney,NSW,"Manage, secure, and scale OpenShift infrastructure in public sector
Lead automation, mentoring, and cluster operations for compliance
5+ years system admin, Red Hat certification, Kubernetes experience",,5,https://au.jora.com/job/IT-Infrastructure-Engineer-93f29ee14b750ec1af54cb3a41b3b4e8
IT & Systems Coordinator,Veritas Recruitment Essendon Partnership,Melbourne,VIC,"Manage IT systems, network, and infrastructure for FMCG company
Provide support, oversee maintenance, and drive technology upgrades
Required: IT generalist with vendor management and cybersecurity experience",,0,https://au.jora.com/job/Systems-Coordinator-3f9df7509136114ed088c6be0b9f1aa4
Manager WPS UKG,Deloitte,Melbourne,VIC,"Specialist consultant for UKG Pro WFM projects
Facilitate workshops, advise clients, and provide ongoing support
Requirements include deep UKG Pro WFM knowledge and certifications",Go,0,https://au.jora.com/job/Manager-c6767776e1be473ce22eec528f9ab069
Technical Project Manager,Infosys,Perth,WA,"Lead end-to-end business-focused projects in diverse industries
Experience in agile environment, cloud migration, and digital transformation
Expert in stakeholder management, budget control, application lifecycle","Agile, Git",0,https://au.jora.com/job/Technical-Project-Manager-1b1dbfa874a94d69263144a0780fa4bd
Recruitment Consultant - Full time or Part time - $60k,Workhorse Staffing,Wyong,NSW,"Recruit for skilled blue-collar, trades, and engineering positions
Utilize CRM and tech tools to support recruitment process
Minimum 12 months experience in relevant recruitment field required",,0,https://au.jora.com/job/Recruitment-Consultant-84b2dcbbdd2d08d2bedb81f66c7b30d2
Sailpoint Specialist,Deloitte,Melbourne,VIC,"Deliver SailPoint projects and engage with clients and team
Contribute to technical designs, mentor juniors, and build practice
Possess strong communication skills and problem-solving abilities",,0,https://au.jora.com/job/Specialist-572c0df402dbb056e881abcb258ce9cc
Senior Sales Engineer,Thales,Canberra,ACT,"Provide technical support to sales team and drive business growth
Discover customer requirements and propose suitable cyber security solutions
Minimum 10 years IT experience, strong knowledge of IT Security",,10,https://au.jora.com/job/Sales-Engineer-cfbca518d99645f4bc9462cbf70ad0ce
Lead Pre-Sales Consultant,ReadyTech,Woollahra,NSW,"Lead pre-sales activities for Local Government opportunities
Translate client needs into compelling solution proposals
Deep understanding of SaaS, Local Government operations, and sales",Go,0,https://au.jora.com/job/Lead-Pre-Sales-af5db3e9c6b70252f073f5a978cc2428
Digital Solutions Consultant - Automation,ELMO Software,Sydney,NSW,"Implement and support HR technology solutions for organisations
Utilize automation, data analytics, and powerful technology for efficiency
Join dynamic team dedicated to transforming HR practices",,0,https://au.jora.com/job/Solutions-Consultant-d61409e272015ae664c3d05eda88a179
eDiscovery Consultant,Empire Group,Sydney CBD,NSW,"Assist in delivering cutting edge document management solutions nationally
Develop and maintain client relationships, provide client solutions
Experience in Case Management Software using NUIX or Relativity",SSIS,0,https://au.jora.com/job/eDiscovery-Consultant-4d058ab34885549b9e0fae17ae3ce282
SAP EWM Consultant,Infosys,Sydney,NSW,"Minimum 3 E2E SAP EWM implementations in manufacturing/CPG/Retail
Responsible for EWM National architecture in ANZ region
Experience in solution design, architecting, and RF device setup",SAP,0,https://au.jora.com/job/SAP-EWM-Consultant-556d01f323a9d7088b1fcc5e73fb8c51
"Solutions Consultant (Sydney, Hybrid)",GTreasury,Sydney,NSW,"Lead discovery sessions with clients on business/technical requirements
Serve clients across ANZ, Southeast Asia, and Hong Kong
Proven experience in Treasury, Finance, Relationship Banking, or Fintech",,0,https://au.jora.com/job/Solutions-Consultant-e8f3b848f903ddd292deb590b76b2904
Project Manager OT/IT,Akkodis,Brisbane,QLD,"Lead IT and OT integration projects with internal stakeholders
Ensure project objectives met within scope, timeline, and budget
Strong communication, problem-solving skills; Australian work rights needed.",,0,https://au.jora.com/job/Project-Manager-482ebb0ab2ddebff7e741ea69a0a38f3
"Technical Account Manager, ES - ANZ",Amazon Web Services,Sydney,NSW,"Lead enterprise support customers in building applications on AWS platform
Provide expert advice, support strategy, and operational performance reviews
Advocate for customers, recommend service improvements at account level",AWS,0,https://au.jora.com/job/Technical-Account-Manager-429df496ea99d7f1d187677e0c8c0c4f
AI & Data Consultant,Deloitte,Sydney,NSW,"Hands-on experience in Python or SQL for Analytics & Data Visualisation
Strong grasp of Data fundamentals, advanced SQL and database skills
Experience with major visualisation tools like PowerBI and Tableau","Python, SQL, Tableau",0,https://au.jora.com/job/Data-Consultant-341aac2b720734c4492f4357477266d0
IT Lead,Akkodis,Adelaide,SA,"Lead critical IT implementation and integration project
Experience in software as a service and project governance
Familiarity with South Australian Government processes and security policies",Go,0,https://au.jora.com/job/IT-Lead-cf19c063bf9555992504aba62811be9b
SuccessFactors Consultant,Green Light,Melbourne,VIC,"Implement, configure, and maintain SAP SuccessFactors HCM solution
Provide support for modules, optimization, data management, training
Manage interface, oversee transactions, and resolve system issues",SAP,0,https://au.jora.com/job/SuccessFactors-Consultant-d212866bfd3e515264302ba8735e75a4
Data Engineer (Consultant),Idea 11,Brisbane,QLD,"Design and deliver data solutions in cloud environment
Experience with AWS, Azure, DataBricks or similar cloud technologies
Hands-on development, technical implementation, and problem-solving skills","AWS, Azure, DataBricks",0,https://au.jora.com/job/Data-Engineer-a86051da49088ef8bcf0c2198762922a
Senior Consultant,Infosys,Melbourne,VIC,"6+ years experience in designing secure, scalable cloud systems
Proficiency in Azure Integration services, API Management, C# and .NET CORE
Experience with Azure Kubernetes service, DevOps, Git, and CI/CD","Azure, C#, CI/CD, DevOps, Git, Scala",6,https://au.jora.com/job/Consultant-80fc957e6f5cbe8923c0357be9da74e9
Enterprise Advisory - Consultant to Senior Consultant 60k to 80k,KPMG,Barangaroo,NSW,"Deliver client engagements with support from senior team
Coach and mentor junior consultants, transferring knowledge and skills
Experience in risk consulting, business transformation, and technology advisory",,0,https://au.jora.com/job/Advisory-Consultant-2816608b513e816d144345a4a5bc0fd6
Dynamics 365 F&O Consultant 1 (Relocate to Malta/Big 4),Black Pen Recruitment,Canberra,ACT,"Skilled in Dynamics 365 Finance & Operations consultancy services
Minimum 3 years experience, Microsoft Dynamics Finance Module certifications
Involvement in end-to-end implementations, strong client relationship management",Dynamics 365,3,https://au.jora.com/job/Consultant-d8d2112b9305d0750b701bd5cd95acc3
